response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.5812,0.0005,0.0001,0.0001,2.5804,0.0002,200,2.1747
2.5496,0.0005,0.0001,0.0001,2.5488,0.0001,200,2.2222
0.0575,0.0005,0.0001,0.0001,0.0568,0.0001,429,4.7285
2.3344,0.0005,0.0001,0.0001,2.3336,0.0002,200,2.4680
2.5786,0.0005,0.0001,0.0001,2.5778,0.0002,200,2.2240
2.6016,0.0005,0.0001,0.0001,2.6009,0.0001,200,2.2015
2.4859,0.0005,0.0001,0.0001,2.4851,0.0001,200,2.4496
2.5547,0.0006,0.0001,0.0001,2.5539,0.0001,200,2.4104
2.5721,0.0006,0.0001,0.0001,2.5713,0.0001,200,2.3943
2.6157,0.0005,0.0001,0.0001,2.6149,0.0001,200,2.3606
2.5709,0.0005,0.0001,0.0001,2.5701,0.0002,200,2.4193
2.6554,0.0007,0.0001,0.0001,2.6544,0.0002,200,2.3599
2.5965,0.0005,0.0001,0.0001,2.5957,0.0002,200,2.4330
2.6376,0.0005,0.0001,0.0001,2.6368,0.0001,200,2.4130
2.5803,0.0005,0.0001,0.0001,2.5796,0.0001,200,2.4727
2.5726,0.0005,0.0001,0.0001,2.5719,0.0001,200,2.4808
2.5782,0.0005,0.0001,0.0001,2.5774,0.0001,200,2.6177
2.5293,0.0005,0.0001,0.0001,2.5285,0.0002,200,2.6926
2.5832,0.0006,0.0001,0.0001,2.5824,0.0001,200,2.6390
2.5187,0.0005,0.0001,0.0001,2.5179,0.0001,200,2.7094
2.5859,0.0005,0.0001,0.0001,2.5851,0.0002,200,2.6562
2.6028,0.0005,0.0001,0.0001,2.6021,0.0002,200,2.6716
2.6186,0.0005,0.0001,0.0001,2.6179,0.0002,200,2.6715
2.5713,0.0005,0.0001,0.0001,2.5705,0.0002,200,2.7410
2.5865,0.0005,0.0001,0.0001,2.5857,0.0002,200,2.7268
2.5801,0.0005,0.0001,0.0001,2.5794,0.0001,200,2.7334
2.5769,0.0003,0.0000,0.0001,2.5763,0.0002,200,2.8768
2.5539,0.0005,0.0001,0.0001,2.5531,0.0001,200,2.9245
2.5809,0.0006,0.0001,0.0001,2.5801,0.0001,200,2.9005
2.5521,0.0005,0.0001,0.0001,2.5514,0.0001,200,2.9296
2.5101,0.0005,0.0001,0.0001,2.5094,0.0001,200,2.9828
2.6109,0.0005,0.0001,0.0001,2.6101,0.0001,200,2.9186
2.5957,0.0005,0.0001,0.0001,2.5949,0.0001,200,2.9514
2.5807,0.0005,0.0001,0.0001,2.5799,0.0001,200,2.9927
2.6069,0.0005,0.0001,0.0001,2.6061,0.0002,200,2.9706
2.3964,0.0004,0.0001,0.0001,2.3957,0.0001,200,3.1812
0.0847,0.0005,0.0001,0.0001,0.0840,0.0001,429,5.4929
0.0774,0.0005,0.0001,0.0001,0.0766,0.0002,429,5.5776
2.6428,0.0005,0.0001,0.0001,2.6420,0.0001,200,3.0669
2.5733,0.0005,0.0001,0.0001,2.5725,0.0001,200,3.1606
2.5146,0.0005,0.0001,0.0001,2.5138,0.0001,200,3.2273
2.5763,0.0005,0.0001,0.0001,2.5756,0.0001,200,3.1748
2.6197,0.0005,0.0001,0.0001,2.6189,0.0001,200,3.1351
2.6070,0.0005,0.0001,0.0001,2.6063,0.0001,200,3.1813
2.5945,0.0005,0.0001,0.0001,2.5937,0.0002,200,3.2083
2.5758,0.0005,0.0001,0.0001,2.5750,0.0002,200,3.2464
2.5832,0.0005,0.0001,0.0001,2.5824,0.0002,200,3.2514
2.5929,0.0005,0.0001,0.0001,2.5922,0.0001,200,3.2436
2.5746,0.0005,0.0001,0.0001,2.5739,0.0001,200,3.3943
2.5604,0.0005,0.0001,0.0001,2.5597,0.0001,200,3.4327
2.5331,0.0005,0.0001,0.0001,2.5323,0.0001,200,3.4653
2.5041,0.0005,0.0001,0.0001,2.5034,0.0001,200,3.5025
2.5934,0.0006,0.0001,0.0001,2.5926,0.0001,200,3.4169
2.6175,0.0005,0.0001,0.0000,2.6167,0.0002,200,3.4313
2.5518,0.0005,0.0001,0.0001,2.5510,0.0001,200,3.5110
2.5940,0.0005,0.0001,0.0001,2.5933,0.0001,200,3.4860
2.6639,0.0004,0.0001,0.0001,2.6632,0.0001,200,3.4312
2.5968,0.0005,0.0001,0.0001,2.5961,0.0001,200,3.4984
0.0703,0.0005,0.0001,0.0001,0.0695,0.0002,429,6.0952
2.5810,0.0005,0.0001,0.0001,2.5801,0.0002,200,3.6481
2.5249,0.0005,0.0001,0.0001,2.5242,0.0001,200,3.7211
2.5644,0.0005,0.0001,0.0001,2.5636,0.0001,200,3.6922
2.4899,0.0005,0.0001,0.0001,2.4891,0.0001,200,3.7702
2.5882,0.0006,0.0001,0.0001,2.5873,0.0002,200,3.6739
2.6153,0.0005,0.0001,0.0000,2.6145,0.0002,200,3.6893
2.5768,0.0005,0.0001,0.0001,2.5761,0.0001,200,3.7428
2.5670,0.0004,0.0001,0.0000,2.5664,0.0001,200,3.7713
2.5925,0.0005,0.0001,0.0001,2.5917,0.0002,200,3.7577
2.5789,0.0005,0.0001,0.0001,2.5783,0.0001,200,3.7714
